partido,legislatura,disciplina_D,disciplina_S,delta_S_menos_D
MC,LX-LXI (2006-12),0.9788,0.9718,-0.0069
MC,LXIV (2018-21),0.9689,0.9738,0.005
MC,LXV+ (2021-26),0.9883,0.9681,-0.0202
MORENA,LXIII (2015-18),0.9164,0.9127,-0.0037
MORENA,LXIV (2018-21),0.976,0.9506,-0.0254
MORENA,LXV+ (2021-26),0.9971,0.9629,-0.0342
PAN,LX-LXI (2006-12),0.9736,0.8806,-0.093
PAN,LXII (2012-15),0.98,0.9354,-0.0445
PAN,LXIII (2015-18),0.9808,0.9481,-0.0327
PAN,LXIV (2018-21),0.937,0.9488,0.0118
PAN,LXV+ (2021-26),0.9985,0.9669,-0.0316
PRI,LX-LXI (2006-12),0.9278,0.9065,-0.0212
PRI,LXII (2012-15),0.9971,0.99,-0.0071
PRI,LXIII (2015-18),0.9983,0.9973,-0.001
PRI,LXIV (2018-21),0.9738,0.9653,-0.0085
PRI,LXV+ (2021-26),0.9966,0.9768,-0.0198
PT,LXII (2012-15),0.9217,0.9376,0.0159
PT,LXIV (2018-21),0.9676,0.9696,0.0019
PT,LXV+ (2021-26),0.9902,0.9865,-0.0036
PVEM,LX-LXI (2006-12),0.9264,0.9268,0.0004
PVEM,LXII (2012-15),0.9807,0.9997,0.019
PVEM,LXIII (2015-18),0.9949,1.0,0.0051
PVEM,LXIV (2018-21),0.9498,0.9327,-0.0171
PVEM,LXV+ (2021-26),0.9988,0.9749,-0.0238
