legislatura,partido,n_mr,n_pluri,gap_disciplina,gap_nominate_d1,t_stat,p_value,cohens_d,significant
LX,MORENA,89,81,-0.004793535857955389,0.08802424622000282,0.30191056461459576,0.7631009525110012,-0.04610821501505198,False
LX,PAN,138,104,-0.0185091833890747,-0.04438990078037908,1.154842666654735,0.24936847625804506,-0.1494636676230772,False
LX,PRI,70,49,-0.02048204081632654,-0.014474916326530599,1.3323270066810649,0.18620928320471344,-0.25315195790672174,False
LXI,MORENA,43,48,0.01055397286821702,0.15679404069767444,-0.5069859773926543,0.6134393422485527,0.1065057319887746,False
LXI,PAN,81,79,0.0028213783403657766,-0.00077097015158617,-0.1467107308042887,0.8835475641231454,0.023199757353764804,False
LXI,PRI,219,76,-0.033158345349675544,-0.014074562665224694,1.7134226522203437,0.08942318911144732,-0.2392724814058313,False
LXII,MC,10,12,0.013303333333333334,-0.033792099605176595,-0.3153782805495525,0.7560275992748888,0.1356896038225408,False
LXII,MORENA,65,71,0.032657941495124576,0.2137325809477243,-1.6079039760193317,0.11050461616030827,0.2776518380839909,False
LXII,PAN,67,76,-0.0048154163393558935,-0.015623490126089518,0.3335314823563346,0.7392638862658748,-0.05614167253375562,False
LXII,PRI,198,82,-0.024583123922148342,-0.013267083481057429,1.742606994980732,0.08399644179340969,-0.24276636064312923,False
LXII,PT,5,11,0.034619999999999984,0.07178826146288653,-0.6235410102421564,0.5463686180355214,0.31800989405428953,False
LXII,PVEM,12,16,0.03788124999999998,0.02967347949338628,-0.8387996882921127,0.4099419260061526,0.3204793247866835,False
LXIII,MC,15,13,-0.000762564102564145,0.21056941025641018,0.017016610170781963,0.9865551596010348,-0.006441673500492926,False
LXIII,MORENA,65,99,0.02227383061383048,-0.27107249790209786,-0.8634150376064542,0.3896807276851497,0.1407996965131082,False
LXIII,PAN,67,67,-0.05847611940298503,-0.06492061194029848,3.158614453042419,0.001976911076283424,-0.5457254589136566,True
LXIII,PRI,186,82,-0.046190676632572814,-0.02338139404668238,2.483921212930959,0.014152079217019822,-0.3352132646494208,True
LXIII,PVEM,27,24,0.008313425925925877,0.018857361111111137,-0.24772553078901077,0.8055761142439392,0.07014835096664904,False
LXIV,MC,21,11,-0.05132987012987,-0.02568744112748217,1.8198509920652968,0.0821985533027387,-0.6665097126977784,False
LXIV,MORENA,234,111,0.0001784130284131491,0.02347151881005826,-0.015321575239254264,0.9877917051662644,0.001811705642506333,False
LXIV,PAN,54,45,-0.004488518518518503,0.02697608866759854,0.2270050071351988,0.8209010935025063,-0.04561440711749154,False
LXIV,PRI,26,34,0.003096832579185471,0.04261938832598183,-0.12540357543197342,0.9006482489872142,0.03241482758553236,False
LXIV,PT,41,7,-0.06885505226480848,0.0005712580404672041,1.1798389634500217,0.27687793512348763,-0.5436797140310304,False
LXIV,PVEM,7,6,-0.014328571428571468,0.015295021090628302,0.3020406212293071,0.7682881042352115,-0.16745059706886195,False
LXV,MC,15,18,0.03529666666666664,-0.19661710624568107,-1.2251726518061616,0.2340477335424389,0.43842699430956816,False
LXV,MORENA,160,94,-0.005455199468085148,-0.009714100720870311,0.6433938992724803,0.5208144222145795,-0.08508278113973465,False
LXV,PAN,88,51,-0.005621947415329731,0.002655880521591686,0.6126426099711517,0.5415738108675704,-0.10942880526634954,False
LXV,PRI,43,38,-0.012999020807833661,0.028810789371803813,0.9898792812166712,0.32527547798319617,-0.22009748584123287,False
LXV,PT,28,9,-0.013305952380952224,-0.022528734903326617,0.4236174096778829,0.6803662962410317,-0.1766865627493441,False
LXV,PVEM,40,13,-0.03127961538461532,-0.06503811084082832,1.3129408111659653,0.20447450338593523,-0.4252191916210452,False
LXVI,MORENA,187,79,-0.013695011169024607,-0.017735845610612644,1.0264806608824217,0.3070021079301711,-0.14899573074044806,False
LXVI,PAN,37,38,-0.00037702702702713253,0.00038144559681729806,0.022227921880283094,0.9823307179700028,-0.005141585300777546,False
LXVI,PRI,13,25,-0.034847692307692246,-0.004487040423512917,1.5141337247139477,0.14124032771099873,-0.5053930976612737,False
LXVI,PT,35,14,-0.03826571428571435,-0.06349672945344575,1.0696578785286357,0.30076550187214757,-0.37770776798157385,False
LXVI,PVEM,50,19,0.02241115789473691,0.01900836698688807,-1.2524105344821312,0.2165396231593795,0.308802777946016,False
