legislatura,partido,org_id,n_seats,shapley_shubik,banzhaf_pct,n_calificadas,n_critical,n_votaciones
LX,ALT,O22,5,0.0,0.0,41,0,590
LX,CONV,O20,18,0.0,0.0,41,0,590
LX,IND,O17,3,0.0,0.0,41,0,590
LX,NA,O21,9,0.0,0.0,41,0,590
LX,PAN,O12,206,0.0,0.0,41,0,590
LX,PRD,O18,126,0.0,0.0,41,0,590
LX,PRI,O15,106,0.0,0.0,41,0,590
LX,PT,O14,11,0.0,0.0,41,0,590
LX,PVEM,O13,17,0.0,0.0,41,0,590
LXI,IND,O17,4,0.0,0.0,78,0,738
LXI,MC,O16,6,0.0,0.0,78,0,738
LXI,NA,O21,8,0.0,0.0,78,0,738
LXI,PAN,O12,142,0.0,0.0,78,0,738
LXI,PRD,O18,65,0.0,0.0,78,0,738
LXI,PRI,O15,242,0.0,0.0,78,0,738
LXI,PT,O14,14,0.0,0.0,78,0,738
LXI,PVEM,O13,22,0.0,0.0,78,0,738
LXII,MC,O16,20,0.0,0.0,37,0,687
LXII,NA,O21,10,0.0,0.0,37,0,687
LXII,PAN,O12,115,0.0,0.0,37,0,687
LXII,PRD,O18,102,0.0,0.0,37,0,687
LXII,PRI,O15,214,0.0,0.0,37,0,687
LXII,PT,O14,14,0.0,0.0,37,0,687
LXII,PVEM,O13,28,0.0,0.0,37,0,687
LXIII,IND,O17,1,0.0,0.0,33,0,714
LXIII,MC,O16,21,0.0,0.0,33,0,714
LXIII,MORENA,O11,51,0.0,0.0,33,0,714
LXIII,NA,O21,13,0.0,0.0,33,0,714
LXIII,PAN,O12,108,0.0,0.0,33,0,714
LXIII,PES,O25,11,0.0,0.0,33,0,714
LXIII,PRD,O18,51,0.0,0.0,33,0,714
LXIII,PRI,O15,201,0.0,0.0,33,0,714
LXIII,PVEM,O13,39,0.0,0.0,33,0,714
LXIII,SP,O28,7,0.0,0.0,33,0,714
LXIV,MC,O16,24,0.0,0.0,68,0,709
LXIV,MORENA,O11,254,0.0,0.0,68,0,709
LXIV,PAN,O12,79,0.0,0.0,68,0,709
LXIV,PES,O25,23,0.0,0.0,68,0,709
LXIV,PRD,O18,12,0.0,0.0,68,0,709
LXIV,PRI,O15,49,0.0,0.0,68,0,709
LXIV,PT,O14,46,0.0,0.0,68,0,709
LXIV,PVEM,O13,11,0.0,0.0,68,0,709
LXIV,SP,O28,6,0.0,0.0,68,0,709
LXV,MC,O16,315,0.0,0.0,25,0,689
LXV,MORENA,O11,386,0.0,0.0,25,0,689
LXV,PAN,O12,115,0.0,0.0,25,0,689
LXV,PRD,O18,16,0.0,0.0,25,0,689
LXV,PRI,O15,125,0.0,0.0,25,0,689
LXV,PT,O14,34,0.0,0.0,25,0,689
LXV,PVEM,O13,43,0.0,0.0,25,0,689
LXV,SP,O28,202,0.0,0.0,25,0,689
LXVI,IND,O17,1,0.0,0.0,53,0,224
LXVI,MC,O16,28,0.0,0.0,53,0,224
LXVI,MORENA,O11,255,0.0,0.0,53,0,224
LXVI,PAN,O12,71,0.0,0.0,53,0,224
LXVI,PRI,O15,37,0.0,0.0,53,0,224
LXVI,PT,O14,50,0.0,0.0,53,0,224
LXVI,PVEM,O13,62,0.0,0.0,53,0,224
