voter_id,nombre,legislatura_origen,legislatura_destino,partido_origen,partido_destino,disciplina_antes,disciplina_despues,delta_disciplina,dim1_antes,dim1_despues,delta_dim1
P00144,Aguilar López José Alejandro,LX,LXV,PAN,PT,0.7987,0.9809,0.1822,0.44733939718804927,-0.12943301721707076,-0.576772
P00167,Carbajal Méndez Liliana,LX,LXVI,PAN,PVEM,0.7288,0.9103,0.1815,0.6935753971880493,0.3162738684120635,-0.377302
P00169,Cárdenas Gutiérrez Gustavo Adolfo,LX,LXIII,PAN,MC,0.8125,0.813,0.0005,0.4850193971880492,0.9914293237421833,0.50641
P00313,Sánchez Juárez Claudia,LXIII,LXVI,PAN,PVEM,0.6835,0.9327,0.2492,-0.2081746762578167,-0.10018910142838494,0.107986
P00343,Zavaleta Salgado Ruth,LX,LXII,MORENA,PVEM,0.7949,0.9258,0.1309,-0.7940156028119507,0.80965905761095,1.603675
P00394,Luna Munguía Alma Lilia,LX,LXIII,MORENA,PRI,0.7373,0.8411,0.1038,-0.7529856028119508,-0.2231166762578167,0.529869
P00410,Narcía Álvarez Héctor,LX,LXII,MORENA,PVEM,0.5288,0.7365,0.2077,-0.7134686028119508,0.5900314720704358,1.3035
P00458,Villanueva Albarrán Gerardo,LX,LXII,MORENA,MC,0.6087,0.8041,0.1954,-1.0472026028119508,-0.810575382729744,0.236627
P00480,Canavati Tafich Jesús Ricardo,LX,LXIII,PRI,PVEM,0.5983,0.7283,0.13,0.08787839718804921,-0.18572967625781664,-0.273608
P00500,Gloria Requena Tomás,LX,LXV,PRI,PVEM,0.6373,0.9794,0.3421,-0.18822360281195077,-0.22285131606219163,-0.034628
P00506,Guerrero García Javier,LX,LXIII,PRI,MORENA,0.6034,0.53,-0.0734,-0.2746676028119508,0.3075713237421833,0.582239
P00542,Pinete Vargas María del Carmen,LXIII,LXV,PRI,PVEM,0.6547,0.8804,0.2257,-0.2797476762578167,-0.12945453906013124,0.150293
P00575,Samperio Montaño Juan Ignacio,LX,LXII,MORENA,MC,0.6712,0.5429,-0.1283,-0.9109516028119508,-0.6830027317310597,0.227949
P00590,Elizondo Garrido Francisco,LX,LXIV,PVEM,MORENA,0.8455,0.6949,-0.1506,0.1416263971880492,0.2609497105119779,0.119323
P00627,Ochoa López Nabor,LX,LXII,MORENA,PVEM,0.678,0.8064,0.1284,0.8698813971880492,0.8170918101988637,-0.05279
P00932,Albores Gleason Roberto Armando,LXI,LXVI,PRI,PT,0.5567,0.9641,0.4074,0.4226052548389778,0.23795988778849297,-0.184645
P01049,García Corpus Teófilo Manuel,LXI,LXIV,PRI,MORENA,0.6667,0.9096,0.2429,-0.5848797451610221,-0.04214221309783314,0.542738
P01118,Pedroza Jiménez Héctor,LXI,LXVI,PRI,PVEM,0.7609,0.9148,0.1539,0.8407072548389778,0.31771437365948696,-0.522993
P01139,Ruíz Massieu Salinas Claudia,LXI,LXVI,PRI,MC,0.5173,0.713,0.1957,0.5504712548389779,0.39101847312128446,-0.159453
P01178,Mendoza Díaz Sonia,LXI,LXV,PAN,PVEM,0.7439,0.9226,0.1787,-0.15739874516102217,-0.1484340189702785,0.008965
P01180,Morán Sánchez Leoncio Alfonso,LXI,LXVI,PAN,MORENA,0.7425,0.8161,0.0736,0.6511882548389778,0.3189234907789773,-0.332265
P01195,Arriaga Rojas Justino Eugenio,LXIV,LXV,PAN,MORENA,0.8164,0.8935,0.0771,0.4135778404571888,0.26251188539661724,-0.151066
P01210,Cuevas Barron Gabriela,LXI,LXIV,PAN,MORENA,0.6165,0.428,-0.1885,0.8959112548389778,-0.42459455158092185,-1.320506
P01290,Saldaña Morán Julio,LXI,LXIII,PAN,MORENA,0.6418,0.6751,0.0333,0.7250242548389778,0.8642823237421833,0.139258
P01323,Anaya Mota Claudia Edith,LXI,LXIII,MORENA,PRI,0.5859,0.7462,0.1603,-0.8258647451610222,-0.31703767625781676,0.508827
P01361,Toledo Gutiérrez Mauricio Alonso,LXI,LXIV,MORENA,PT,0.3876,0.5254,0.1378,-0.8725507451610222,-0.3700439344994644,0.502507
P01391,Sarur Torre Adriana,LXI,LXIII,PVEM,MORENA,0.7927,0.7997,0.007,0.7431172548389777,-0.3341556762578167,-1.077273
P01392,Vidal Aguilar Liborio,LXI,LXIII,PVEM,PRI,0.6016,0.5434,-0.0582,0.8198082548389778,-0.29757067625781664,-1.117379
P01398,Muñoz Ledo  Porfirio,LXI,LXIV,PT,MORENA,0.3564,0.4195,0.0631,-0.9916867451610223,-0.6020958662007369,0.389591
P01408,Caro Cabrera Salvador,LXI,LXV,PT,MC,0.5294,0.858,0.3286,-0.4288167451610222,0.17455328564431088,0.60337
P01903,Delgadillo González Claudia,LXII,LXV,PRI,PVEM,0.6629,0.7982,0.1353,0.6646974187537045,-0.1613560120622767,-0.826053
P01919,Abreu Artiñano Rocío Adriana,LXII,LXVI,PRI,MORENA,0.9106,0.843,-0.0676,0.6704308951669327,0.3191086166669213,-0.351322
P01939,Bautista Villegas Oscar,LXIV,LXVI,PRI,PVEM,0.7405,0.9776,0.2371,-0.6915420193297376,0.3162449370550444,1.007787
P01959,Castro Trenti Fernando Jorge,LXII,LXVI,PRI,MORENA,0.7188,0.7713,0.0525,0.3314893966425486,0.31892386979026033,-0.012566
P01964,Corona Nakamura Maria del Rocio,LXII,LXV,PRI,PVEM,0.9633,0.9983,0.035,0.6630989503902652,-0.14128693644660684,-0.804386
P02049,Núñez Sánchez Gloria Elizabeth,LXII,LXVI,PRI,MC,0.7831,0.9507,0.1676,0.6632952266590565,0.45514609536036144,-0.208149
P02103,Vitela Rodríguez Alma Marina,LXII,LXIV,PRI,MORENA,0.9156,0.875,-0.0406,0.6691357062439524,0.12031078908102405,-0.548825
P02137,Cruz Mendoza Eufrosina,LXII,LXV,PAN,PRI,0.6929,0.9524,0.2595,-0.37300272309831306,-0.29113937059057915,0.081863
P02224,García Medina Amalia Dolores,LXII,LXV,MORENA,MC,0.6783,0.874,0.1957,-0.3099956462834391,-0.5927301426990459,-0.282734
P02263,Gaudiano Rovirosa Gerardo,LXII,LXV,MORENA,MC,0.8118,0.8738,0.062,-0.3668515203757754,-0.598266904603609,-0.231415
P02341,Gómez Pozos Merilyn,LXII,LXVI,MC,MORENA,0.7263,0.7848,0.0585,-0.7542501274642883,0.3820841946327401,1.136334
P02347,Méndez Denis Lorena,LXII,LXV,MC,MORENA,0.7382,0.8627,0.1245,-0.8141665178933241,0.22800782707248152,1.042174
P02348,Monreal Ávila Ricardo,LXII,LXVI,MC,MORENA,0.7095,0.991,0.2815,-0.7907057226350221,0.36512858108005297,1.155834
P02799,Benítez Tiburcio Mariana,LXIII,LXVI,PRI,MORENA,0.507,0.7937,0.2867,-0.27953267625781664,0.3911899128893097,0.670723
P02878,Ortega Pacheco Ivonne Aracelly,LXIII,LXV,PRI,MC,0.5197,0.7847,0.265,-0.36186567625781674,-0.5511822258300982,-0.189317
P02901,Sánchez Arredondo Nancy Guadalupe,LXIII,LXVI,PRI,MORENA,0.8669,0.861,-0.0059,-0.23429567625781664,0.19755045183516037,0.431846
P02904,Sánchez Sánchez Christian Joaquín,LXIII,LXV,PRI,PVEM,0.7619,0.873,0.1111,-0.23838467625781665,-0.13610708953432127,0.102278
P03069,Wences Real Victoriano,LXIII,LXV,MORENA,PT,0.7948,0.929,0.1342,0.9336643237421833,0.03044936123586338,-0.903215
P03455,Fernández Cruz Nayeli Arlen,LXIV,LXV,MORENA,PVEM,0.8701,0.8936,0.0235,-0.030354616664227493,-0.12633282391850606,-0.095978
P03709,Porras Domínguez Alfredo,LXIV,LXV,PT,MORENA,0.8096,0.9371,0.1275,-0.43300329768670043,0.20963991894482525,0.642643
P03718,Elizondo Guerra Olga Juliana,LXIV,LXV,PT,MORENA,0.8836,0.9453,0.0617,-0.3271108399093682,0.02152756169860122,0.348638
P03718,Elizondo Guerra Olga Juliana,LXV,LXVI,MORENA,PT,0.9453,0.8969,-0.0484,0.02152756169860122,0.3658602282232408,0.344333
P03728,Huacus Esquivel Francisco Javier,LXIV,LXV,PT,MORENA,0.8594,0.7613,-0.0981,-0.32970398839620063,0.049056727871821776,0.378761
P03741,Rosete  María,LXIV,LXVI,PT,MORENA,0.8166,0.8386,0.022,-0.4527913091334854,0.19756138533622403,0.650353
P03745,Vázquez García Dionicia,LXV,LXVI,PT,MORENA,0.9623,0.9401,-0.0222,0.027136254881023114,0.3651827208480606,0.338046
P03772,Cabrera Lagunas Ma. del Carmen,LXIV,LXVI,MORENA,PVEM,0.737,0.8341,0.0971,-0.3714575767579529,0.384981193002667,0.756439
P04103,Montemayor Castillo Santy,LXV,LXVI,PVEM,MORENA,0.9276,0.7668,-0.1608,-0.1295967228747319,0.3155108129676799,0.445108
