legislatura,partido,genero,n_personas,disciplina_mean,disciplina_std
LX,MORENA,M,18,0.9091111111111112,0.09136700967809082
LX,PAN,F,12,0.9281,0.07990280459294395
LX,PAN,M,44,0.9146840909090909,0.09726325328041024
LX,PRI,F,9,0.9311444444444444,0.07756855211861166
LX,PRI,M,47,0.9487808510638298,0.1077637061560029
LXI,MORENA,F,5,0.96122,0.0251227387042098
LXI,MORENA,M,23,0.9267545454545455,0.059799559858809685
LXI,PAN,F,11,0.9414909090909092,0.05144149015231683
LXI,PAN,M,50,0.91393,0.08347891643879857
LXI,PRI,F,10,0.93284,0.0734337524575723
LXI,PRI,M,51,0.9456607843137256,0.09299356553747443
LXII,MORENA,F,8,0.900025,0.08515538318693827
LXII,MORENA,M,14,0.9026357142857143,0.03973587038941508
LXII,PAN,F,20,0.895615,0.07118532725070155
LXII,PAN,M,29,0.9489206896551724,0.04103447487270696
LXII,PRI,F,22,0.9635363636363636,0.04351804820394083
LXII,PRI,M,39,0.970497435897436,0.0780480064386134
LXII,PVEM,M,6,0.9956666666666667,0.008125433321778432
LXIII,MORENA,F,8,0.8846499999999999,0.07830987896081273
LXIII,MORENA,M,13,0.9029076923076923,0.0643027793792573
LXIII,PAN,F,25,0.935916,0.07126250580307525
LXIII,PAN,M,29,0.9240103448275861,0.06129289952367815
LXIII,PRI,F,29,0.961548275862069,0.06221591792579895
LXIII,PRI,M,44,0.9666386363636363,0.03944526508507878
LXIII,PT,F,5,0.925,0.05715229654178384
LXIII,PT,M,10,0.94307,0.062052201142801265
LXIII,PVEM,M,5,0.9741,0.012026429228993978
LXIV,MC,M,8,0.9749125,0.02154108615778561
LXIV,MORENA,F,41,0.9774317073170732,0.03428382591707342
LXIV,MORENA,M,52,0.9857884615384616,0.02096265263343033
LXIV,PAN,F,17,0.9538588235294116,0.029214552427333448
LXIV,PAN,M,15,0.9591,0.03072216510227476
LXIV,PRI,F,8,0.9465,0.0336080347536121
LXIV,PRI,M,9,0.9720777777777777,0.027775878823980433
LXIV,PVEM,F,5,0.9228,0.03003164997132194
LXV,MC,F,7,0.9335571428571429,0.09155732006313232
LXV,MC,M,7,0.9685142857142858,0.026907460463065403
LXV,MORENA,F,43,0.968953488372093,0.033928253073053284
LXV,MORENA,M,52,0.9722057692307692,0.040306353381645586
LXV,PAN,F,14,0.9412571428571429,0.04835208553748408
LXV,PAN,M,10,0.94886,0.04941477961545961
LXV,PRI,F,6,0.9183333333333333,0.059345182337462464
LXV,PRI,M,6,0.9699666666666666,0.0060740980125996305
LXVI,MORENA,F,39,0.9923974358974359,0.015742190832273954
LXVI,MORENA,M,39,0.9933666666666667,0.01376992017966646
LXVI,PAN,F,12,0.9636833333333333,0.04885350705440859
LXVI,PAN,M,12,0.985775,0.01589591857278865
LXVI,PRI,F,8,0.989175,0.01758162596088799
LXVI,PRI,M,8,0.994775,0.012772375324448148
LXVI,PT,F,5,0.9803599999999999,0.026231431527844632
LXVI,PVEM,F,7,0.9867142857142858,0.01607694296929911
LXVI,PVEM,M,8,0.979525,0.027248263378477123
