legislatura,partido,genero,centroid_d1,centroid_d2,std_d1,std_d2
LX,MORENA,M,0.1313105,0.08649522222222222,0.900784287568094,0.30779714288330257
LX,PAN,F,0.2759329166666667,-0.08355616666666665,0.7918363631684905,0.39030789193028187
LX,PAN,M,0.17234827272727274,-0.09061770454545455,0.7529646072155843,0.4297785377587781
LX,PRI,F,0.1490428888888889,-0.3174188888888889,0.7359333926870428,0.48112881194240603
LX,PRI,M,0.5347012978723404,-0.16270463829787235,0.5697974933268117,0.4416007123586048
LXI,MORENA,F,0.039874399999999977,-0.155145,0.8760711746672185,0.33244332561054674
LXI,MORENA,M,-0.10003465217391304,0.06624526086956521,0.7913509906376799,0.3825282457744689
LXI,PAN,F,0.17412672727272727,0.024048272727272724,0.6921440789824169,0.5269000254906221
LXI,PAN,M,-0.05045582,-0.051202899999999996,0.7051021222566303,0.4946506567129379
LXI,PRI,F,0.03029019999999999,-0.1438786,0.6523114558812805,0.5775255597593736
LXI,PRI,M,0.23124817647058823,-0.02832207843137255,0.570444546028541,0.5501146993471032
LXII,MORENA,F,0.603841,-0.33553525,0.20030606060012973,0.2451869575293515
LXII,MORENA,M,0.7348983571428571,-0.4309321428571429,0.11590251672890202,0.1374887139227503
LXII,PAN,F,0.061790500000000005,0.5569193,0.26312590836697813,0.44545873069621633
LXII,PAN,M,0.1353329655172414,0.720267724137931,0.21691146463336514,0.38712151718198035
LXII,PRI,F,-0.5638659090909091,-0.491141,0.0878121527840126,0.05084558775070148
LXII,PRI,M,-0.5238132564102563,-0.5031061282051282,0.19428455097244382,0.06073138494663002
LXII,PVEM,M,-0.5307793333333334,-0.49937533333333334,0.09334223461363388,0.01441439921282418
LXIII,MORENA,F,-0.662993625,-0.440709625,0.11288088661813582,0.2443742395489447
LXIII,MORENA,M,-0.6470113076923076,-0.5166777692307692,0.15696693740529383,0.2637910194485254
LXIII,PAN,F,0.042649120000000006,0.047223360000000006,0.4421665226854885,0.4336840285755172
LXIII,PAN,M,0.11289482758620689,0.003226551724137921,0.5346964013864763,0.3722137036741496
LXIII,PRI,F,0.41057334482758623,-0.513475551724138,0.05505495172635369,0.014584829401975512
LXIII,PRI,M,0.44773545454545455,-0.5368068636363637,0.10232644041167202,0.07888719604971153
LXIII,PT,F,-0.8435969999999999,0.0582294,0.10903246483731346,0.4419465242942861
LXIII,PT,M,-0.8643198999999999,-0.07211209999999998,0.10433168934322451,0.31830651523944303
LXIII,PVEM,M,0.4336694,-0.5208716,0.014336178406395486,0.018926612805782242
LXIV,MC,M,-0.6860358750000001,-0.68706175,0.06336948523075371,0.07289259930247673
LXIV,MORENA,F,0.43425702439024394,0.45016631707317073,0.2933167615550199,0.19154977733286965
LXIV,MORENA,M,0.22013030769230768,0.43828823076923074,0.43777536706556897,0.2513152421995691
LXIV,PAN,F,-0.8978784705882353,0.3487584117647059,0.05489141091409207,0.08146477797954987
LXIV,PAN,M,-0.8559332000000001,0.3551454,0.08644857679006966,0.09976097343278655
LXIV,PRI,F,-0.4996605,-0.072170875,0.4849663142257556,0.27366055030505926
LXIV,PRI,M,-0.5796966666666666,0.03958911111111111,0.053316937243243795,0.14271145653331802
LXIV,PVEM,F,0.037479799999999994,0.1326104,0.5752893711317809,0.22209403966068067
LXV,MC,F,-0.6607112857142857,-0.21511242857142857,0.1258823884077439,0.23125243055721392
LXV,MC,M,-0.696013,-0.15372014285714286,0.13230593640498525,0.3283414309644909
LXV,MORENA,F,0.4666295348837209,-0.04734762790697674,0.2776240108600418,0.2532855202031346
LXV,MORENA,M,0.35196801923076926,-0.07249501923076923,0.5066406418194606,0.29742601750901704
LXV,PAN,F,-0.8284284285714286,0.2936362142857143,0.10698304166744176,0.16700362334446917
LXV,PAN,M,-0.8036647,0.3385402,0.0919771562968521,0.17956576651268719
LXV,PRI,F,-0.6277348333333334,-0.09265716666666667,0.2594336410108886,0.26189105285703573
LXV,PRI,M,-0.406716,-0.07714516666666665,0.16572408132676436,0.35010882215529315
LXVI,MORENA,F,-0.7537094871794873,-0.09402287179487179,0.2554656676478911,0.180531144293309
LXVI,MORENA,M,-0.7147673076923077,-0.10148053846153846,0.39394530764769836,0.14589181523899394
LXVI,PAN,F,0.6854504166666667,0.3574076666666666,0.11767508215070104,0.1273269866291534
LXVI,PAN,M,0.49102616666666665,0.2632939166666667,0.2347900377706289,0.1647123431420853
LXVI,PRI,F,0.46033075,-0.4390695,0.08706801459901498,0.08565401267558088
LXVI,PRI,M,0.43739075,-0.448374125,0.09172521232736394,0.08065179187352702
LXVI,PT,F,-0.829842,-0.2740796,0.08402173930894316,0.29005774972977366
LXVI,PVEM,F,-0.8020112857142857,-0.15962528571428572,0.08245039346118828,0.03080314975081978
LXVI,PVEM,M,-0.775809875,-0.127503625,0.09288711444918733,0.19262847994960774
