,MORENA,PAN,PVEM,PT,PRI,MC,PRD,SG,PES
MORENA,0.9842419234020032,0.7249313341732087,0.9620358438542509,0.9511752713948802,0.7134836763760987,0.7673959497509464,0.8927824207593514,0.7377291664910159,0.9858050319329664
PAN,0.7249313341732087,0.9123981773382102,0.8189513342059976,0.7539554960389273,0.9017918389836476,0.8829960343557416,0.8505220757621501,0.8700095409874006,0.7714284231981984
PVEM,0.9620358438542509,0.8189513342059976,0.964047693959322,0.855320299704692,0.8796204974447639,0.7488596432536926,0.8442527311276892,0.7947365558243791,0.964171090241832
PT,0.9511752713948802,0.7539554960389273,0.855320299704692,0.934364852785745,0.7258379357799848,0.786210958643525,0.8696002498714764,0.7681334068959047,0.9455894079638079
PRI,0.7134836763760987,0.9017918389836476,0.8796204974447639,0.7258379357799848,0.9556839908588937,0.8993073708884978,0.8430291606159321,0.8522281735946319,0.7911285920017695
MC,0.7673959497509464,0.8829960343557416,0.7488596432536926,0.786210958643525,0.8993073708884978,0.9741783347043201,0.9031760417788196,0.8674594362587877,0.8187603566312908
PRD,0.8927824207593514,0.8505220757621501,0.8442527311276892,0.8696002498714764,0.8430291606159321,0.9031760417788196,0.9059929067141574,0.8350085019925892,0.8959186999388498
SG,0.7377291664910159,0.8700095409874006,0.7947365558243791,0.7681334068959047,0.8522281735946319,0.8674594362587877,0.8350085019925892,0.8444387962968763,0.7472723985780566
PES,0.9858050319329664,0.7714284231981984,0.964171090241832,0.9455894079638079,0.7911285920017695,0.8187603566312908,0.8959186999388498,0.7472723985780566,0.9978172535266688
